year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,EVV,"Evansville, IN: Evansville Regional",61.0,9.0,1.52,1.08,0.56,0.0,5.84,0.0,0.0,732.0,47.0,90.0,19.0,0.0,576.0
2024,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",107.0,42.0,6.01,5.89,25.16,0.0,4.94,0.0,0.0,2531.0,335.0,491.0,1251.0,0.0,454.0
2024,12,MQ,Envoy Air,EYW,"Key West, FL: Key West International",169.0,31.0,3.37,0.71,11.44,0.0,15.48,5.0,3.0,1596.0,143.0,52.0,468.0,0.0,933.0
2024,12,MQ,Envoy Air,FAR,"Fargo, ND: Hector International",171.0,35.0,4.64,2.12,15.32,0.0,12.92,2.0,0.0,2428.0,245.0,184.0,575.0,0.0,1424.0
2024,12,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",69.0,14.0,2.0,2.47,4.7,0.0,4.83,1.0,0.0,720.0,86.0,154.0,191.0,0.0,289.0
2024,12,MQ,Envoy Air,FSM,"Fort Smith, AR: Fort Smith Regional",91.0,11.0,1.4,0.94,1.95,0.0,6.71,1.0,0.0,703.0,80.0,70.0,127.0,0.0,426.0
2024,12,MQ,Envoy Air,FWA,"Fort Wayne, IN: Fort Wayne International",90.0,16.0,4.33,1.45,6.07,0.0,4.14,0.0,0.0,864.0,120.0,64.0,190.0,0.0,490.0
2024,12,MQ,Envoy Air,GCK,"Garden City, KS: Garden City Regional",61.0,10.0,3.95,1.17,0.38,0.0,4.51,1.0,1.0,982.0,202.0,67.0,43.0,0.0,670.0
2024,12,MQ,Envoy Air,GJT,"Grand Junction, CO: Grand Junction Regional",73.0,15.0,3.88,0.26,5.37,0.0,5.49,0.0,0.0,992.0,141.0,64.0,154.0,0.0,633.0
2024,12,MQ,Envoy Air,GNV,"Gainesville, FL: Gainesville Regional",47.0,8.0,1.44,0.0,2.91,0.0,3.65,0.0,0.0,419.0,106.0,0.0,126.0,0.0,187.0
2024,12,MQ,Envoy Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",29.0,8.0,0.06,0.3,4.08,0.0,3.56,0.0,0.0,699.0,1.0,19.0,284.0,0.0,395.0
2024,12,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",130.0,32.0,7.42,4.28,4.87,0.0,15.43,3.0,1.0,1635.0,356.0,308.0,140.0,0.0,831.0
2024,12,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",82.0,23.0,4.94,1.96,6.27,0.0,9.83,0.0,1.0,1584.0,435.0,259.0,259.0,0.0,631.0
2024,12,MQ,Envoy Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",118.0,31.0,7.96,2.31,9.57,0.0,11.16,1.0,0.0,1433.0,378.0,92.0,327.0,0.0,636.0
2024,12,MQ,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",171.0,31.0,6.92,1.55,9.59,0.0,12.95,2.0,0.0,1380.0,360.0,72.0,365.0,0.0,583.0
2024,12,MQ,Envoy Air,HDN,"Hayden, CO: Yampa Valley",11.0,3.0,0.03,0.12,1.22,0.0,1.62,0.0,0.0,117.0,1.0,8.0,51.0,0.0,57.0
2024,12,MQ,Envoy Air,HHH,"Hilton Head, SC: Hilton Head Airport",77.0,17.0,5.24,1.88,3.24,0.0,6.64,0.0,1.0,915.0,221.0,186.0,97.0,0.0,411.0
2024,12,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",132.0,25.0,5.59,4.1,10.25,0.0,5.06,4.0,0.0,1479.0,236.0,361.0,430.0,0.0,452.0
2024,12,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",115.0,28.0,8.71,1.92,8.53,0.0,8.84,2.0,1.0,1511.0,365.0,286.0,331.0,0.0,529.0
2024,12,MQ,Envoy Air,HRL,"Harlingen/San Benito, TX: Valley International",123.0,14.0,2.13,2.67,3.63,0.0,5.57,2.0,0.0,1120.0,52.0,545.0,150.0,0.0,373.0
2024,12,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",68.0,9.0,2.0,0.99,1.07,0.0,4.94,0.0,0.0,484.0,57.0,111.0,56.0,0.0,260.0
2024,12,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",138.0,14.0,2.44,0.25,6.47,0.0,4.84,5.0,1.0,1227.0,88.0,71.0,529.0,0.0,539.0
2024,12,MQ,Envoy Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",120.0,28.0,4.61,2.09,9.0,0.0,12.3,2.0,0.0,1289.0,225.0,90.0,263.0,0.0,711.0
2024,12,MQ,Envoy Air,ILM,"Wilmington, NC: Wilmington International",114.0,24.0,7.19,1.74,6.64,0.0,8.43,1.0,0.0,1479.0,283.0,227.0,276.0,0.0,693.0
2024,12,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",137.0,35.0,9.15,1.48,6.21,0.0,18.16,0.0,0.0,1597.0,367.0,42.0,172.0,0.0,1016.0
2024,12,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",51.0,5.0,0.38,0.7,2.88,0.0,1.04,3.0,0.0,315.0,18.0,60.0,186.0,0.0,51.0
2024,12,MQ,Envoy Air,JAX,"Jacksonville, FL: Jacksonville International",174.0,23.0,5.79,0.0,7.96,0.26,8.99,1.0,0.0,1088.0,271.0,0.0,243.0,13.0,561.0
2024,12,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",30.0,2.0,1.0,0.75,0.25,0.0,0.0,0.0,1.0,394.0,217.0,132.0,45.0,0.0,0.0
2024,12,MQ,Envoy Air,LBB,"Lubbock, TX: Lubbock Preston Smith International",108.0,16.0,0.33,3.0,3.1,0.0,9.57,0.0,0.0,1072.0,7.0,168.0,121.0,0.0,776.0
2024,12,MQ,Envoy Air,LEX,"Lexington, KY: Blue Grass",94.0,23.0,4.7,2.63,6.34,0.0,9.33,0.0,0.0,1399.0,184.0,247.0,321.0,0.0,647.0
2024,12,MQ,Envoy Air,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",62.0,7.0,2.76,0.51,0.98,0.0,2.74,2.0,0.0,475.0,79.0,63.0,69.0,0.0,264.0
2024,12,MQ,Envoy Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",249.0,50.0,9.64,4.95,17.3,0.0,18.1,0.0,1.0,2883.0,365.0,536.0,611.0,0.0,1371.0
2024,12,MQ,Envoy Air,LRD,"Laredo, TX: Laredo International",152.0,29.0,7.75,2.78,6.73,0.0,11.74,2.0,0.0,1684.0,272.0,393.0,192.0,0.0,827.0
2024,12,MQ,Envoy Air,LSE,"La Crosse, WI: La Crosse Regional",8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
2024,12,MQ,Envoy Air,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",185.0,33.0,7.12,3.71,7.57,0.0,14.61,0.0,0.0,2584.0,276.0,608.0,282.0,0.0,1418.0
2024,12,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",77.0,19.0,6.41,1.17,3.77,0.0,7.65,0.0,0.0,834.0,224.0,79.0,134.0,0.0,397.0
2024,12,MQ,Envoy Air,MEM,"Memphis, TN: Memphis International",140.0,29.0,5.81,2.62,6.07,0.0,14.5,0.0,0.0,1917.0,329.0,250.0,265.0,0.0,1073.0
2024,12,MQ,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",80.0,10.0,1.31,1.09,2.84,0.0,4.76,1.0,0.0,530.0,53.0,30.0,161.0,0.0,286.0
2024,12,MQ,Envoy Air,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",91.0,5.0,2.06,0.08,0.94,0.0,1.92,3.0,1.0,426.0,56.0,23.0,15.0,0.0,332.0
2024,12,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1464.0,331.0,97.79,10.53,102.07,2.74,117.87,12.0,0.0,21485.0,6383.0,1458.0,3812.0,64.0,9768.0
2024,12,MQ,Envoy Air,MKE,"Milwaukee, WI: General Mitchell International",15.0,2.0,0.75,0.0,0.26,0.0,0.99,0.0,0.0,83.0,42.0,0.0,7.0,0.0,34.0
2024,12,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",76.0,11.0,3.64,1.88,0.58,0.0,4.9,1.0,0.0,999.0,76.0,209.0,83.0,0.0,631.0
2024,12,MQ,Envoy Air,MLU,"Monroe, LA: Monroe Regional",75.0,13.0,4.51,2.58,0.99,0.0,4.93,3.0,0.0,635.0,168.0,186.0,69.0,0.0,212.0
2024,12,MQ,Envoy Air,MOB,"Mobile, AL: Mobile Regional",66.0,12.0,5.95,1.07,2.56,0.0,2.42,1.0,0.0,524.0,249.0,83.0,122.0,0.0,70.0
2024,12,MQ,Envoy Air,MQT,"Marquette, MI: Marquette Sawyer Regional",31.0,10.0,1.51,1.52,1.99,0.0,4.98,1.0,0.0,2377.0,111.0,1242.0,166.0,0.0,858.0
2024,12,MQ,Envoy Air,MRY,"Monterey, CA: Monterey Regional",55.0,7.0,3.04,0.0,1.11,0.0,2.85,0.0,1.0,403.0,146.0,0.0,42.0,0.0,215.0
2024,12,MQ,Envoy Air,MSN,"Madison, WI: Dane County Regional-Truax Field",40.0,10.0,3.93,0.17,2.12,0.0,3.78,0.0,0.0,560.0,225.0,4.0,106.0,0.0,225.0
2024,12,MQ,Envoy Air,MSO,"Missoula, MT: Missoula Montana",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,12,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",47.0,8.0,2.15,0.19,2.26,0.0,3.4,0.0,0.0,430.0,73.0,5.0,50.0,0.0,302.0
2024,12,MQ,Envoy Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",69.0,15.0,2.1,0.25,2.61,0.0,10.04,0.0,0.0,770.0,121.0,17.0,111.0,0.0,521.0
2024,12,MQ,Envoy Air,MYR,"Myrtle Beach, SC: Myrtle Beach International",15.0,1.0,0.0,0.1,0.43,0.0,0.47,1.0,0.0,51.0,0.0,5.0,22.0,0.0,24.0
2024,12,MQ,Envoy Air,OKC,"Oklahoma City, OK: Will Rogers World",131.0,15.0,3.78,1.67,4.17,0.0,5.37,4.0,0.0,790.0,198.0,116.0,191.0,0.0,285.0
2024,12,MQ,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",56.0,12.0,2.45,2.09,4.83,0.0,2.62,0.0,0.0,633.0,124.0,59.0,143.0,0.0,307.0
2024,12,MQ,Envoy Air,ONT,"Ontario, CA: Ontario International",34.0,4.0,1.03,0.0,1.2,0.05,1.73,0.0,0.0,152.0,44.0,0.0,30.0,1.0,77.0
2024,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",2518.0,594.0,151.23,23.28,219.16,2.18,198.15,10.0,2.0,44858.0,15272.0,3736.0,8155.0,76.0,17619.0
2024,12,MQ,Envoy Air,ORF,"Norfolk, VA: Norfolk International",32.0,4.0,0.92,0.0,0.94,0.0,2.15,0.0,0.0,242.0,78.0,0.0,58.0,0.0,106.0
